240,189,223,216,194,-1.22,-10.47,1.26
241,189,224,216,196,-1.14,-10.55,1.26
241,189,224,217,196,-1.29,-10.51,1.33
239,185,205,198,193,-1.06,-10.51,0.94
237,186,206,199,194,-0.98,-10.55,1.02
238,186,207,202,194,-1.02,-10.47,1.26
237,185,209,205,195,-1.02,-10.59,1.10
237,187,214,209,195,-1.14,-10.55,1.10
236,192,228,228,194,-1.06,-10.67,1.10
240,249,301,334,193,-1.22,-10.59,0.94
243,362,372,418,197,-1.45,-10.36,1.26
237,424,399,444,200,-1.26,-10.43,1.18
230,413,390,433,191,-2.98,-10.59,1.10
227,404,384,424,185,-2.59,-10.36,1.22
228,399,379,420,182,-2.63,-10.24,1.14
229,397,377,418,182,-2.63,-10.12,1.26
229,396,376,415,181,-2.63,-10.08,1.29
227,393,374,414,181,-2.59,-10.16,1.26
229,391,372,413,181,-2.59,-10.12,1.37
229,390,372,411,180,-2.55,-10.20,1.14
231,388,370,411,181,-2.55,-10.08,1.26
233,386,368,408,180,-2.47,-10.00,1.65
239,363,351,365,180,-2.35,-9.77,1.14
234,240,263,246,185,-1.96,-10.00,0.67
233,194,212,196,187,-1.22,-10.55,0.59
